:START_ID(Order),:END_ID(Product),:TYPE,UnitPrice,Quantity,Discount
36,9,CONTAINS,605.26,18,0.2
36,10,CONTAINS,7953.07,13,0.05
37,1,CONTAINS,731.79,11,0.2
37,2,CONTAINS,2417.18,20,0.0
37,4,CONTAINS,1841.58,14,0.0
37,6,CONTAINS,408.1,1,0.2
37,7,CONTAINS,9181.31,15,0.0
38,2,CONTAINS,2421.46,4,0.05
38,10,CONTAINS,8027.45,14,0.0
39,2,CONTAINS,2369.7,19,0.0
39,3,CONTAINS,2708.67,12,0.1
39,4,CONTAINS,1860.28,8,0.2
39,8,CONTAINS,3611.2,5,0.1
39,10,CONTAINS,8656.03,4,0.15
40,2,CONTAINS,2262.62,1,0.0
40,7,CONTAINS,8800.77,9,0.05
40,8,CONTAINS,3899.55,15,0.2
40,9,CONTAINS,578.85,7,0.05
41,1,CONTAINS,763.86,8,0.1
41,6,CONTAINS,393.93,8,0.2
41,7,CONTAINS,9385.42,10,0.2
41,8,CONTAINS,3648.1,16,0.05
42,1,CONTAINS,740.58,18,0.0
42,8,CONTAINS,3823.23,16,0.2
42,10,CONTAINS,8624.89,5,0.1
43,9,CONTAINS,591.56,6,0.2
43,10,CONTAINS,7935.57,18,0.2
44,1,CONTAINS,705.74,9,0.15
44,6,CONTAINS,401.96,1,0.05
44,9,CONTAINS,591.63,9,0.0
44,10,CONTAINS,8652.52,19,0.0
45,3,CONTAINS,2780.2,17,0.1
45,4,CONTAINS,1797.55,14,0.2
45,6,CONTAINS,376.83,9,0.1
46,1,CONTAINS,713.11,8,0.15
46,9,CONTAINS,574.73,1,0.0
47,4,CONTAINS,1821.9,16,0.1
47,7,CONTAINS,9392.14,3,0.15
47,8,CONTAINS,3786.98,5,0.0
47,10,CONTAINS,8147.42,12,0.05
48,2,CONTAINS,2374.68,3,0.1
48,4,CONTAINS,1863.0,15,0.2
48,9,CONTAINS,595.36,8,0.15
49,7,CONTAINS,9212.51,12,0.2
49,9,CONTAINS,568.71,11,0.15
49,10,CONTAINS,8119.17,14,0.15
50,1,CONTAINS,695.9,7,0.2
50,3,CONTAINS,2751.68,14,0.05
50,4,CONTAINS,1732.58,2,0.05
50,7,CONTAINS,9159.93,11,0.15
50,10,CONTAINS,8047.06,18,0.15
51,3,CONTAINS,2722.26,16,0.15
52,1,CONTAINS,763.74,1,0.05
52,2,CONTAINS,2358.08,2,0.05
52,3,CONTAINS,2702.57,8,0.05
52,6,CONTAINS,397.4,12,0.1
52,8,CONTAINS,3576.63,17,0.05
53,2,CONTAINS,2280.55,2,0.15
53,3,CONTAINS,2760.65,3,0.2
53,7,CONTAINS,9113.56,4,0.05
53,8,CONTAINS,3751.66,7,0.1
53,10,CONTAINS,8270.91,16,0.05
54,4,CONTAINS,1804.81,17,0.0
54,6,CONTAINS,409.23,12,0.05
54,8,CONTAINS,3675.55,13,0.05
54,9,CONTAINS,562.06,2,0.0
55,4,CONTAINS,1792.81,10,0.2
55,6,CONTAINS,390.73,7,0.2
55,8,CONTAINS,3722.59,20,0.15
55,9,CONTAINS,596.7,10,0.0
55,10,CONTAINS,8362.73,20,0.0
56,1,CONTAINS,747.74,11,0.0
56,2,CONTAINS,2320.26,17,0.2
56,6,CONTAINS,379.88,20,0.05
56,10,CONTAINS,8082.83,20,0.1
57,1,CONTAINS,695.53,11,0.15
57,2,CONTAINS,2309.64,15,0.1
57,3,CONTAINS,2739.69,19,0.0
57,8,CONTAINS,3784.28,19,0.15
58,4,CONTAINS,1795.03,19,0.0
58,6,CONTAINS,391.79,16,0.1
58,9,CONTAINS,572.19,8,0.0
58,10,CONTAINS,8655.67,7,0.15
59,2,CONTAINS,2394.22,6,0.15
60,7,CONTAINS,9285.36,3,0.1
60,8,CONTAINS,3648.05,4,0.1
61,1,CONTAINS,746.12,14,0.2
61,2,CONTAINS,2295.86,1,0.05
61,4,CONTAINS,1866.77,15,0.1
61,8,CONTAINS,3763.55,11,0.2
61,10,CONTAINS,7977.1,18,0.0
62,4,CONTAINS,1796.07,16,0.2
62,7,CONTAINS,9509.61,3,0.05
63,4,CONTAINS,1857.98,7,0.2
63,6,CONTAINS,382.43,6,0.05
63,7,CONTAINS,9459.94,1,0.05
63,9,CONTAINS,563.09,3,0.1
64,2,CONTAINS,2273.9,16,0.0
64,3,CONTAINS,2808.54,14,0.2
64,10,CONTAINS,8671.18,8,0.05
65,2,CONTAINS,2385.14,2,0.15
65,3,CONTAINS,2711.43,19,0.05
65,7,CONTAINS,8749.17,2,0.1
65,9,CONTAINS,590.18,14,0.1
65,10,CONTAINS,7931.64,7,0.15
66,3,CONTAINS,2699.73,4,0.2
66,8,CONTAINS,3707.63,3,0.1
67,8,CONTAINS,3876.41,19,0.15
67,10,CONTAINS,8179.81,18,0.0
68,3,CONTAINS,2678.19,1,0.2
69,3,CONTAINS,2799.0,14,0.1
69,4,CONTAINS,1765.46,9,0.05
69,8,CONTAINS,3617.5,8,0.2
70,1,CONTAINS,708.29,3,0.05
70,4,CONTAINS,1834.89,4,0.0
70,6,CONTAINS,410.68,14,0.15
70,7,CONTAINS,9414.17,13,0.0
70,9,CONTAINS,607.34,12,0.2
71,9,CONTAINS,591.75,6,0.2
71,10,CONTAINS,8498.46,20,0.05
72,6,CONTAINS,408.56,13,0.2
72,9,CONTAINS,577.92,4,0.2
73,3,CONTAINS,2657.2,1,0.1
74,4,CONTAINS,1886.5,2,0.2
74,6,CONTAINS,373.28,3,0.1
74,7,CONTAINS,9147.12,2,0.2
74,10,CONTAINS,7921.22,2,0.2
75,6,CONTAINS,389.53,15,0.1
75,10,CONTAINS,8268.13,12,0.15
76,2,CONTAINS,2465.97,16,0.2
76,3,CONTAINS,2731.8,9,0.05
76,7,CONTAINS,9238.94,5,0.0
76,10,CONTAINS,8694.66,10,0.15
77,6,CONTAINS,374.71,15,0.2
77,7,CONTAINS,9095.72,16,0.05
77,9,CONTAINS,589.34,1,0.15
78,6,CONTAINS,401.94,19,0.2
78,9,CONTAINS,616.0,12,0.05
79,7,CONTAINS,9390.35,1,0.0
79,8,CONTAINS,3756.43,13,0.2
80,4,CONTAINS,1753.92,13,0.2
80,9,CONTAINS,578.46,8,0.0
81,9,CONTAINS,602.84,7,0.0
81,10,CONTAINS,8469.68,8,0.2
82,1,CONTAINS,719.99,12,0.1
82,3,CONTAINS,2778.42,6,0.0
82,9,CONTAINS,577.99,3,0.05
82,10,CONTAINS,8299.68,9,0.1
83,1,CONTAINS,708.14,10,0.2
83,9,CONTAINS,585.26,13,0.1
84,4,CONTAINS,1825.31,10,0.0
84,6,CONTAINS,411.74,6,0.05
84,8,CONTAINS,3884.73,15,0.15
85,1,CONTAINS,698.26,14,0.05
85,2,CONTAINS,2357.94,8,0.05
85,4,CONTAINS,1814.54,12,0.2
85,8,CONTAINS,3721.24,11,0.2
85,10,CONTAINS,8242.05,11,0.1
86,3,CONTAINS,2592.85,12,0.05
87,3,CONTAINS,2635.86,8,0.0
87,9,CONTAINS,575.28,3,0.15
88,3,CONTAINS,2614.72,14,0.1
88,7,CONTAINS,9370.08,18,0.05
89,1,CONTAINS,740.35,19,0.0
90,3,CONTAINS,2595.9,3,0.05
90,4,CONTAINS,1881.33,15,0.05
90,7,CONTAINS,9467.16,1,0.1
91,4,CONTAINS,1727.48,17,0.05
91,8,CONTAINS,3718.8,15,0.0
91,9,CONTAINS,597.72,19,0.15
91,10,CONTAINS,8261.11,12,0.15
92,1,CONTAINS,747.06,19,0.0
93,1,CONTAINS,744.74,7,0.2
93,2,CONTAINS,2426.58,19,0.05
94,1,CONTAINS,716.57,17,0.15
94,2,CONTAINS,2456.3,11,0.2
94,9,CONTAINS,567.03,8,0.2
94,10,CONTAINS,8103.05,7,0.1
95,1,CONTAINS,719.85,14,0.2
95,3,CONTAINS,2812.05,12,0.0
95,6,CONTAINS,395.61,20,0.1
95,7,CONTAINS,8814.17,18,0.15
96,2,CONTAINS,2333.87,16,0.15
96,7,CONTAINS,8971.56,8,0.2
97,1,CONTAINS,702.41,13,0.1
98,6,CONTAINS,393.98,14,0.2
98,7,CONTAINS,9025.52,2,0.2
98,8,CONTAINS,3756.86,20,0.15
98,10,CONTAINS,8119.92,16,0.05
99,1,CONTAINS,752.21,9,0.05
99,2,CONTAINS,2312.78,15,0.0
99,4,CONTAINS,1788.32,19,0.05
100,4,CONTAINS,1785.9,9,0.2
100,6,CONTAINS,375.47,18,0.05
100,8,CONTAINS,3887.49,4,0.15
100,10,CONTAINS,8365.37,13,0.2
